prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1430061,572,828,1888,2180,3,559620
1436424,490,647,2424,2751,3,559620
1436428,504,647,1719,2070,3,559620
1436438,1877,2211,1576,1837,3,559620
1436440,2948,3399,811,944,3,559620
1436441,3552,3865,874,982,3,559620
1436432,1012,1151,1503,1799,3,559620
1436427,403,588,1983,2310,3,559620
1436425,275,476,1875,2150,3,559620
1436426,101,355,2000,2271,3,559620
1436439,1922,2259,1868,2018,3,559620
1436437,3664,3907,2841,3012,3,559620
