,image,missed_detections,false_positives,matches,image_with_boxes,human_boxes,model_boxes
0,564555.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
3         1423626   3699   4017    404    746              3   
8         1423628   3037   3274    436    532              3   
11        1423616    697    828   1362   1545              3   
13        1423627   3605   3795    420    626              3   
14        1423683   4060   4379   2612   2767              3   

    microscope_image_id  
3                564555  
8                564555  
11               564555  
13               564555  
14               564555  ","Empty DataFrame
Columns: [x_center_normalised, y_center_normalised, width_normalised, height_normalised, confidence, x_min, y_min, x_max, y_max]
Index: []",10,output_images_run_5/564555.jpg,"[[1412, 2774, 1527, 3041], [3309, 2711, 3615, 2827], [3347, 331, 3660, 446], [3699, 404, 4017, 746], [785, 1120, 1082, 1298], [3107, 2597, 3335, 2763], [3584, 2827, 3918, 2973], [3563, 454, 3691, 728], [3037, 436, 3274, 532], [910, 1783, 1410, 2111], [1643, 522, 1867, 623], [697, 1362, 828, 1545], [1055, 2436, 1351, 2543], [3605, 420, 3795, 626], [4060, 2612, 4379, 2767]]","[[778.9338529407978, 1113.8930654525755, 1095.9238383471966, 1294.1275739669798], [3308.999256491661, 2706.8271264433865, 3613.82982981205, 2832.6320639252667], [3101.8337894529104, 2597.529966235161, 3329.653377905488, 2768.902776837349], [3569.575467467308, 2831.2855806946754, 3926.218797326088, 2975.218687951565], [1402.0153565928338, 2771.626218557358, 1527.1523198559878, 3001.30566239357], [902.3143574595454, 1778.9988738298416, 1411.9375961422918, 2119.8780411481857], [1058.2366385757923, 2434.767996072769, 1348.9460067451, 2548.2567727565765], [1642.3515182733536, 521.0050305724143, 1868.2232297658916, 623.1263771653174], [3332.6001093685627, 333.94878089427954, 3633.3994242846966, 443.41298878192896], [3533.766836106777, 429.17228877544403, 3681.70213419199, 727.9654294252394]]"
1,589372.jpg,"   prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
8        1449061   3156   3568   2412   2800              3   

   microscope_image_id  
8               589372  ","    x_center_normalised  y_center_normalised  width_normalised  \
13             0.870655             0.035975          0.093506   

    height_normalised  confidence        x_min      y_min        x_max  \
13            0.04758    0.614991  3341.747146  37.042745  3721.008634   

         y_max  
13  181.685401  ",13,output_images_run_5/589372.jpg,"[[2852, 1144, 3060, 1252], [2900, 2692, 3104, 2904], [2908, 2648, 3244, 2756], [800, 496, 960, 720], [3368, 2764, 3568, 2924], [820, 728, 1192, 836], [1140, 1036, 1712, 1248], [2812, 2484, 2952, 2896], [3156, 2412, 3568, 2800], [3387, 1984, 3658, 2106], [1517, 2294, 1708, 2625], [1355, 1641, 1949, 1977], [3160, 1818, 3355, 2099], [3561, 2874, 3845, 3065]]","[[821.6717526912688, 725.5652281641961, 1178.6122012138362, 830.8517888188362], [1155.5899168252943, 1034.8430866003036, 1710.3949559926984, 1257.482734322548], [1555.2883384376764, 2299.735136628151, 1701.3797752708192, 2605.9314435720444], [2891.9949872642756, 2667.6102191209793, 3104.5196430534124, 2905.4427403211594], [2808.582306995988, 2476.8797302246094, 2945.8122824281454, 2894.115581512451], [796.4574702233075, 491.63786053657526, 958.0798544436692, 732.475937604904], [2901.6403665840626, 2643.919810652733, 3248.4858216941357, 2755.271378159523], [3159.978638201952, 1829.2152035236359, 3355.0203900039196, 2090.416144132614], [3533.773711055517, 2873.516180813313, 3832.1523791849613, 3040.0], [1347.881386935711, 1657.0159935951233, 1932.2752988934512, 1972.5809454917908], [3363.181815415621, 2766.713461875916, 3663.782406538725, 2915.1333856582646], [3402.797068119049, 1990.2634981274605, 3655.281207561493, 2106.7365285754204], [2837.62968313694, 1143.9370501041412, 3053.8591808080673, 1257.7512586116788], [3341.747145563364, 37.04274505376816, 3721.0086337029934, 181.6854014992711]]"
2,559597.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
4         1436313   2967   3168   1987   2077              3   
11        1436317     91    233   2104   2179              3   

    microscope_image_id  
4                559597  
11               559597  ","    x_center_normalised  y_center_normalised  width_normalised  \
7              0.646563             0.824226          0.051703   
9              0.164019             0.266935          0.051085   
10             0.983318             0.578337          0.033364   
12             0.616684             0.769553          0.072932   

    height_normalised  confidence        x_min        y_min        x_max  \
7            0.088800    0.605382  2517.608049  2370.670543  2727.313855   
9            0.043448    0.439163   561.661365   745.442226   768.862363   
10           0.053694    0.406269  3920.677279  1676.530012  4056.000000   
12           0.052282    0.299772  2353.362192  2259.973961  2649.175673   

          y_max  
7   2640.623670  
9    877.525055  
10  1839.759756  
12  2418.910488  ",10,output_images_run_5/559597.jpg,"[[3060, 2144, 3252, 2272], [2596, 100, 3048, 220], [3160, 2040, 3452, 2184], [3221, 364, 3405, 454], [2967, 1987, 3168, 2077], [3679, 1864, 3790, 2136], [3275, 884, 3432, 1072], [3470, 1805, 3750, 1939], [3499, 1146, 3817, 1225], [3627, 1547, 3784, 1792], [3472, 2151, 3587, 2329], [91, 2104, 233, 2179]]","[[2584.7635231912136, 88.07272791862482, 3053.216154009104, 219.1070318222045], [3137.2216512858868, 2032.867745757103, 3456.8791168034077, 2180.377398133278], [3618.809793367982, 1539.077976346016, 3774.778552159667, 1789.6369475126266], [3489.293669074774, 1142.478767633438, 3812.503624588251, 1238.810075521469], [3453.717909604311, 2153.182708621025, 3587.142472475767, 2334.3311578035355], [3667.1172930747275, 1864.7327756881714, 3785.0186598747973, 2131.53124332428], [3270.8479901254177, 888.1470704078675, 3418.8345707952976, 1069.996507167816], [2517.6080493181944, 2370.67054271698, 2727.3138552457094, 2640.6236696243286], [3055.335579827428, 2142.245556116104, 3253.519183203578, 2266.8551862239838], [561.6613651067016, 745.4422259330748, 768.862362787127, 877.5250554084777], [3920.6772788912062, 1676.5300118923187, 4056.0, 1839.7597563266754], [3206.4235254228115, 353.0771473050118, 3396.817570120096, 457.0751401782035], [2353.3621922135353, 2259.9739611148834, 2649.1756734251976, 2418.9104878902435], [3427.512720376253, 1793.024078309536, 3724.5981728732586, 1935.90530782938]]"
3,559634.jpg,"Empty DataFrame
Columns: [prediction_id, x_min, x_max, y_min, y_max, spore_type_id, microscope_image_id]
Index: []","    x_center_normalised  y_center_normalised  width_normalised  \
11             0.222069             0.898564          0.063334   
13             0.199086             0.941876          0.037758   
15             0.538298             0.517779          0.087004   

    height_normalised  confidence        x_min        y_min        x_max  \
11           0.031765    0.396288   772.271635  2683.350877  1029.155923   
13           0.077883    0.334208   730.919045  2744.921545   884.064617   
15           0.046480    0.287324  2006.892034  1503.399806  2359.779980   

          y_max  
11  2779.916316  
13  2981.685949  
15  1644.699006  ",13,output_images_run_5/559634.jpg,"[[1836, 2864, 2140, 2976], [2948, 1640, 3200, 1852], [220, 2536, 572, 2668], [2396, 2704, 2672, 2816], [2144, 2776, 2416, 2912], [2432, 2896, 2784, 3016], [76, 1822, 281, 2094], [3157, 2026, 3320, 2405], [209, 1568, 432, 1788], [777, 1655, 1102, 1859], [1049, 2745, 1295, 2844], [326, 1697, 527, 1905], [3672, 1818, 4020, 1954]]","[[2143.1496798992157, 2770.6980934739113, 2413.286149263382, 2912.1663627028465], [2389.0591320991516, 2699.7413569688797, 2677.043270587921, 2817.7330654859543], [67.62896896898737, 1820.0678807497025, 276.0462735146281, 2094.0988940000534], [2427.1302713155746, 2900.0689250230794, 2785.5065113306046, 3011.1377781629567], [2948.028410822153, 1639.4535809755325, 3198.0411044061184, 1856.6380327939987], [215.80438408255543, 2524.7569224238396, 572.4027774631974, 2658.883881866932], [3671.3725010454655, 1819.8526740074158, 3985.8227141797543, 1956.9391083717346], [3160.487558171153, 2020.3074204921722, 3295.121099665761, 2406.7957174777985], [238.23442563414577, 1569.3271905183792, 430.05332234501816, 1786.3489264249802], [1840.2082820534708, 2878.8459649682045, 2102.377970159054, 2972.3359617590904], [804.4457300305365, 1664.8484748601913, 1078.6292626261709, 1848.54538500309], [772.2716347575185, 2683.3508771657944, 1029.1559227108953, 2779.916315674782], [1049.473640039563, 2738.374228775501, 1290.0031804293392, 2851.928429305553], [730.9190447330477, 2744.9215453863144, 884.0646171569822, 2981.6859489679337], [314.9208373725413, 1715.606252849102, 540.7997713387009, 1905.0405862927437], [2006.8920337557793, 1503.3998060226443, 2359.7799795269966, 1644.6990060806274]]"
4,558450.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
4         1423960   3906   4044    814    979              3   
12        1423961   3825   4022    535    673              3   

    microscope_image_id  
4                558450  
12               558450  ","    x_center_normalised  y_center_normalised  width_normalised  \
9              0.830864             0.041272          0.031535   
12             0.919370             0.250079          0.056117   
14             0.012698             0.324542          0.025211   

    height_normalised  confidence        x_min       y_min        x_max  \
9            0.082444    0.800187  3306.032044    0.149885  3433.936340   
12           0.065666    0.428005  3615.160979  660.426922  3842.770360   
14           0.050897    0.318626     0.374216  909.242654   102.630648   

          y_max  
9    250.780995  
12   860.051985  
14  1063.970265  ",12,output_images_run_5/558450.jpg,"[[247, 2352, 494, 2645], [769, 1979, 994, 2211], [1397, 1095, 1800, 1341], [3084, 1135, 3230, 1533], [3906, 814, 4044, 979], [1543, 2555, 1835, 2974], [3906, 2871, 4065, 3066], [499, 1871, 672, 2071], [2616, 962, 2873, 1111], [3871, 946, 4073, 1141], [2508, 254, 2759, 535], [1597, 111, 1813, 270], [3825, 535, 4022, 673], [1637, 703, 1743, 1027]]","[[252.5090479105712, 2344.597831964493, 494.36936683952797, 2640.177673101425], [1418.011243164539, 1083.2694959640505, 1799.1079346537588, 1327.3212575912473], [2493.8540815114975, 270.8428436517714, 2753.306004166603, 530.1899236440655], [1557.174711048603, 2558.1561017036443, 1822.0697194933887, 2963.8856005668645], [764.2102814018725, 1981.3741505146027, 984.4169444739815, 2194.7391498088837], [3073.052488937974, 1141.5724146366122, 3221.5454133599997, 1515.0643670558927], [1634.204163841903, 720.0512957572936, 1745.935974307358, 1026.5463757514951], [2599.1003901958466, 961.7292657494545, 2853.588932275772, 1112.7391561865807], [504.1814296692607, 1871.4022481441498, 657.9357296973463, 2076.4963686466217], [3306.032043725252, 0.14988481998430947, 3433.9363400638103, 250.7809954881667], [3860.158193036914, 914.7970104217528, 4056.0, 1144.8965167999265], [1580.8408834934237, 112.21361756324755, 1813.4470832347868, 268.0418717861173], [3615.160978540778, 660.4269218444825, 3842.7703597694635, 860.0519847869872], [3888.9494508951902, 2879.5037141442294, 4054.663321092725, 3038.8628515601154], [0.37421630322909977, 909.2426538467407, 102.6306475549934, 1063.9702653884888]]"
5,563396.jpg,"   prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
5        1428936    739    820    396    558              3   

   microscope_image_id  
5               563396  ","Empty DataFrame
Columns: [x_center_normalised, y_center_normalised, width_normalised, height_normalised, confidence, x_min, y_min, x_max, y_max]
Index: []",13,output_images_run_5/563396.jpg,"[[1525, 1696, 1961, 1828], [3796, 909, 4048, 1128], [1917, 2207, 2015, 2388], [1747, 2196, 1934, 2353], [2542, 755, 3042, 855], [739, 396, 820, 558], [1734, 2375, 1912, 2456], [1852, 2380, 2063, 2483], [1460, 444, 1604, 650], [3675, 1161, 4064, 1299], [3002, 739, 3415, 861], [2536, 748, 3032, 868], [3016, 748, 3396, 876], [1536, 1712, 1944, 1836]]","[[3012.3605245649815, 742.0118397474289, 3399.7682376801968, 876.1127406358719], [1538.4198206663132, 1710.199969112873, 1937.42105448246, 1837.1511432528496], [3654.2132182717323, 1166.643343269825, 4055.7583946585655, 1296.0786530375478], [3775.497226059437, 912.0940440893173, 4054.8981043696404, 1180.9100395441055], [2537.2843112647533, 748.9402556419374, 3030.0836286842823, 871.5891861915587], [1466.5080834925175, 437.87521183490753, 1605.1929038465023, 644.3182390928268], [1850.0283152908085, 2385.353037714958, 2056.6198752075434, 2486.1316043138504], [1912.0265652537346, 2199.7056090831757, 2012.231889545917, 2395.517131090164], [1734.5186902731655, 2182.8448861837387, 1914.8145836144683, 2353.0836683511734], [1724.7846090048554, 2370.8687253296375, 1907.357364490628, 2456.710525006056]]"
6,557763.jpg,"Empty DataFrame
Columns: [prediction_id, x_min, x_max, y_min, y_max, spore_type_id, microscope_image_id]
Index: []","    x_center_normalised  y_center_normalised  width_normalised  \
13             0.406384             0.968985          0.053138   
15             0.349913             0.968871          0.032542   
19             0.976006             0.646742          0.047888   

    height_normalised  confidence        x_min        y_min        x_max  \
13           0.062031    0.625997  1540.529856  2851.425899  1756.057565   
15           0.062257    0.549185  1353.252920  2850.737386  1485.243762   
19           0.036768    0.254637  3861.560849  1910.209036  4055.796207   

          y_max  
13  3040.000000  
15  3040.000000  
19  2021.982603  ",17,output_images_run_5/557763.jpg,"[[1364, 1876, 1508, 2260], [2972, 1592, 3204, 1756], [860, 1440, 1240, 1588], [1664, 2276, 1808, 2732], [1404, 2292, 1620, 2580], [2356, 348, 2616, 540], [1984, 1176, 2092, 1552], [376, 456, 532, 700], [1715, 2723, 1862, 2988], [3425, 769, 3800, 1265], [1445, 2852, 1564, 3058], [1958, 352, 2127, 635], [989, 1768, 1126, 2105], [1558, 1989, 1782, 2164], [1404, 2628, 1491, 2872], [1217, 790, 1547, 948], [2581, 888, 2758, 1175]]","[[2356.185287922621, 342.3041772842407, 2619.993389636278, 541.8483352661132], [374.0079016238449, 458.7353509664536, 540.3092701882122, 701.7659479379653], [1404.3116310238836, 2263.509963154793, 1623.5434414744375, 2576.7665642499924], [1982.0322304442527, 1164.4721311330795, 2092.8310574814677, 1544.3149191141129], [1665.96235871315, 2279.4808447360992, 1809.7682754993439, 2737.3551309108734], [1229.9137335419655, 798.2702377438545, 1517.5940446257591, 935.5593082308769], [1710.6070443838835, 2708.4025818109512, 1840.4996212273836, 2990.796884894371], [1959.4072085469963, 353.14216911792755, 2122.6023997217417, 635.8783930540084], [872.4508342444894, 1432.648225426674, 1238.0536275207994, 1587.543377280235], [1364.797432512045, 1860.6806874275208, 1524.6179908812046, 2259.869658946991], [980.7668528705836, 1764.9369484186172, 1116.5239271968603, 2111.9715064764023], [1387.8444402739406, 2624.2687726020813, 1493.9065787270665, 2874.6132731437683], [1545.7955527603626, 1985.4058200120926, 1769.4557065665722, 2160.313670039177], [1540.5298557579517, 2851.4258989691734, 1756.0575647056098, 3040.0], [2574.792225971818, 890.2407693862915, 2739.1289003938437, 1171.7947435379028], [1353.2529203742743, 2850.7373857498173, 1485.243761792779, 3040.0], [3425.638851106167, 766.1380863189697, 3791.128834784031, 1268.5258197784422], [1435.1430034786465, 2855.740554630757, 1553.8180513232944, 3037.2825548052792], [2994.327534019947, 1594.5514807105064, 3210.501850783825, 1750.6560960412025], [3861.560848787427, 1910.2090361714363, 4055.7962068766356, 2021.982602775097]]"
7,1648934.jpg,"   prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
7        3041029   1164   1331    547    679              3   

   microscope_image_id  
7              1648934  ","    x_center_normalised  y_center_normalised  width_normalised  \
9              0.018834             0.283755          0.037601   
13             0.989880             0.184630          0.020240   

    height_normalised  confidence        x_min       y_min       x_max  \
9            0.075314    0.667653     0.134825  748.139518   152.64636   
13           0.058528    0.485667  3973.906751  472.314225  4056.00000   

         y_max  
9   977.093626  
13  650.238027  ",13,output_images_run_5/1648934.jpg,"[[1860, 12, 2060, 220], [256, 1616, 816, 1928], [348, 1428, 712, 1536], [3036, 348, 3272, 620], [76, 2088, 340, 2244], [2434, 2347, 2560, 2594], [2058, 1055, 2315, 1171], [1164, 547, 1331, 679], [339, 2824, 533, 2970], [3136, 204, 3348, 364], [154, 2920, 379, 3006], [3802, 356, 4006, 522], [3913, 643, 4153, 817], [447, 63, 649, 169]]","[[77.16119116544704, 2088.7662956118584, 339.4176093935963, 2241.399109661579], [269.31328868865944, 1738.0744516849518, 571.4258548021313, 1927.579826116562], [2045.554524332285, 1047.4693623185156, 2321.9442959725857, 1182.0084342360494], [347.16059973835934, 1424.9510765075686, 713.5564145743843, 1537.328519821167], [1848.6501373797653, 0.0, 2068.334833189845, 213.19775342941284], [350.97541058063496, 2820.872877836228, 545.1754571199413, 2990.880700349808], [3892.606953844428, 627.5074532628059, 4056.0, 808.7771126627922], [2418.448548272252, 2352.7313512563705, 2556.872860953212, 2608.2050043344498], [3032.4958517700434, 347.58215010166145, 3273.439944013953, 622.2481721639631], [0.1348245441910509, 748.1395184993743, 152.6463604867454, 977.0936262607571], [155.66787023842343, 2904.894689619541, 370.8044625967739, 3001.194253861904], [3788.9980313032866, 356.03654295206076, 3988.9240639954805, 516.8977221846579], [3144.5056821405888, 207.5301820039748, 3349.5606230199337, 367.074922919273], [3973.906750828028, 472.3142248392105, 4056.0, 650.2380269765853], [443.2913761138915, 51.61675333976735, 660.9291050434109, 176.23075485229455]]"
8,557752.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
7         1429445   3425   3652   2280   2415              3   
10        1429442   3861   4425    127    547              3   
11        1429443   3003   3135    982   1270              3   
12        1429448    444    613   2560   2679              3   
14        1429450   2030   2175   3022   3354              3   

    microscope_image_id  
7                557752  
10               557752  
11               557752  
12               557752  
14               557752  ","    x_center_normalised  y_center_normalised  width_normalised  \
4              0.975389             0.151927          0.049221   
8              0.015676             0.542153          0.031351   
9              0.167515             0.882114          0.035547   
10             0.467893             0.021841          0.031237   
13             0.977342             0.738417          0.045230   

    height_normalised  confidence        x_min        y_min        x_max  \
4            0.047103    0.782650  3856.358326   390.262439  4056.000000   
8            0.081066    0.678750     0.000000  1524.925373   127.160638   
9            0.087898    0.639392   607.354072  2548.022336   751.530949   
10           0.043397    0.635057  1834.424550     0.432203  1961.120842   
13           0.041532    0.468193  3872.371177  2181.660190  4055.824304   

          y_max  
4    533.455227  
8   1771.367409  
9   2815.233279  
10   132.359881  
13  2307.917523  ",10,output_images_run_5/557752.jpg,"[[3352, 56, 3488, 340], [536, 592, 740, 912], [952, 808, 1120, 1060], [792, 284, 1012, 556], [696, 648, 804, 908], [204, 1600, 532, 1716], [352, 388, 608, 572], [3425, 2280, 3652, 2415], [2671, 2022, 2800, 2301], [3900, 2528, 4072, 2819], [3861, 127, 4425, 547], [3003, 982, 3135, 1270], [444, 2560, 613, 2679], [212, 1386, 481, 1523], [2030, 3022, 2175, 3354]]","[[352.5981100201605, 386.6609618067741, 618.2626292109487, 572.5727131962774], [3347.567114531994, 57.78277814388277, 3484.286606132984, 340.0237876176834], [956.2780285924674, 801.9597655534744, 1123.4583329111338, 1045.6303089857101], [534.5887991040946, 586.8631464242934, 734.5772653967141, 905.8634561300274], [3856.358325764537, 390.2624386548994, 4056.0, 533.4552270174025], [788.4827487766742, 285.44085502624506, 1014.8901018798347, 564.1773796081541], [3886.234201222658, 2537.8298968076706, 4056.0, 2835.1187306642532], [688.8064177930355, 650.0695806741713, 806.1706773340702, 903.7510484457015], [0.0, 1524.9253726005554, 127.16063842177371, 1771.3674092292786], [607.3540724962947, 2548.0223363637924, 751.5309494286771, 2815.2332788705826], [1834.4245501086114, 0.4322028160095215, 1961.1208424046633, 132.35988140106178], [169.42978754639606, 1598.0109831690788, 533.0435901582237, 1715.3107979893684], [2665.175881393254, 2046.6748839616776, 2779.21104144305, 2301.112763285637], [3872.3711768388753, 2181.6601902246475, 4055.8243035078053, 2307.917522788048], [213.57543504238137, 1388.298971951008, 492.3810485601424, 1542.8442642092705]]"
9,558327.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
0         1424272    878   1058   3019   3266              3   
5         1424278   2227   2603   1128   1384              3   
7         1424284    777    906    834   1182              3   
8         1424286    485    614    674    969              3   
9         1424271    721    912   3013   3238              3   
12        1424283   1274   1462   1089   1339              3   
13        1424285    575    828    988   1207              3   
14        1424288    833   1046     63    365              3   

    microscope_image_id  
0                558327  
5                558327  
7                558327  
8                558327  
9                558327  
12               558327  
13               558327  
14               558327  ","    x_center_normalised  y_center_normalised  width_normalised  \
10             0.726095             0.178387          0.041343   

    height_normalised  confidence        x_min       y_min        x_max  \
10           0.050271    0.303538  2861.198617  465.883957  3028.886609   

         y_max  
10  618.706564  ",10,output_images_run_5/558327.jpg,"[[878, 3019, 1058, 3266], [2241, 1894, 2505, 2062], [2474, 1521, 2850, 1768], [3125, 2907, 3495, 3058], [3072, 1967, 3369, 2071], [2227, 1128, 2603, 1384], [2844, 180, 3021, 422], [777, 834, 906, 1182], [485, 674, 614, 969], [721, 3013, 912, 3238], [2634, 1830, 2743, 2099], [3473, 1891, 3635, 2180], [1274, 1089, 1462, 1339], [575, 988, 828, 1207], [833, 63, 1046, 365], [2861, 1330, 3066, 1546], [1383, 814, 1742, 994], [1055, 343, 1276, 652]]","[[2474.786282747984, 1514.6886867284775, 2845.512861996889, 1753.3545833826065], [2232.1314312815666, 1887.818463742733, 2564.69636374712, 2070.7799020409584], [1371.8030657172205, 818.8608899712564, 1739.6429219841955, 992.5359472632407], [3058.9394959509373, 1969.0589579939842, 3357.0515671670437, 2063.964723646641], [3124.745432496071, 2903.3047384023666, 3488.891189932823, 3025.359678864479], [1040.0276568979023, 330.8326488733292, 1276.3631159216163, 646.6718667745589], [2842.8031047284603, 180.828736424446, 3016.01624456048, 419.5157879590985], [3500.921726949513, 1894.884448647499, 3616.294041864574, 2156.196350455284], [2614.2868799865246, 1837.156867980957, 2746.76418069005, 2111.8350982666016], [2843.047943562269, 1333.3625614643097, 3060.6863675415516, 1548.8490283489227], [2861.1986166089773, 465.8839565515519, 3028.8866094499826, 618.7065643072127]]"
